,,Year,Month,Day,Hour,Minute,Second,x,y,theta,Record,U (m s^-1),V (m s^-1),W (m s^-1),TSonic (K),RH (%),T_HMP60 (C)
p1,444,2020.0,10.0,8.0,15.0,0.0,47.4,2.8,0.7,0.0,8246422.0,-0.008,-0.002,0.073,296.8,33.93,22.53
p1,445,2020.0,10.0,8.0,15.0,0.0,47.5,2.8,0.7,0.0,8246423.0,-0.027999999999999997,-0.002,0.09300000000000001,296.8,33.93,22.53
p1,446,2020.0,10.0,8.0,15.0,0.0,47.6,2.8,0.7,0.0,8246424.0,-0.027999999999999997,-0.002,0.09300000000000001,296.8,33.93,22.53
p1,447,2020.0,10.0,8.0,15.0,0.0,47.7,2.8,0.7,0.0,8246425.0,-0.008,-0.002,0.073,296.9,33.93,22.53
p1,448,2020.0,10.0,8.0,15.0,0.0,47.8,2.8,0.7,0.0,8246426.0,-0.008,-0.002,0.07400000000000001,296.9,33.93,22.53
p1,449,2020.0,10.0,8.0,15.0,0.0,47.9,2.8,0.7,0.0,8246427.0,-0.008,-0.002,0.073,296.9,33.94,22.53
p1,450,2020.0,10.0,8.0,15.0,0.0,48.0,2.8,0.7,0.0,8246428.0,0.012,0.008,0.09300000000000001,296.9,33.94,22.53
p1,451,2020.0,10.0,8.0,15.0,0.0,48.1,2.8,0.7,0.0,8246429.0,0.012,0.009000000000000001,0.09300000000000001,296.9,33.95,22.53
p1,452,2020.0,10.0,8.0,15.0,0.0,48.2,2.8,0.7,0.0,8246430.0,-0.008,-0.002,0.073,296.9,33.95,22.53
p1,453,2020.0,10.0,8.0,15.0,0.0,48.3,2.8,0.7,0.0,8246431.0,-0.008,-0.002,0.07400000000000001,296.9,33.95,22.53
p1,454,2020.0,10.0,8.0,15.0,0.0,48.4,2.8,0.7,0.0,8246432.0,-0.008,-0.002,0.073,296.9,33.95,22.53
p1,455,2020.0,10.0,8.0,15.0,0.0,48.5,2.8,0.7,0.0,8246433.0,-0.008,-0.002,0.07400000000000001,296.9,33.95,22.53
p1,456,2020.0,10.0,8.0,15.0,0.0,48.6,2.8,0.7,0.0,8246434.0,-0.008,-0.002,0.073,296.9,33.95,22.53
p1,457,2020.0,10.0,8.0,15.0,0.0,48.7,2.8,0.7,0.0,8246435.0,-0.008,-0.002,0.064,297.0,33.95,22.53
p1,458,2020.0,10.0,8.0,15.0,0.0,48.8,2.8,0.7,0.0,8246436.0,-0.008,-0.002,0.064,297.0,33.95,22.53
p1,459,2020.0,10.0,8.0,15.0,0.0,48.9,2.8,0.7,0.0,8246437.0,-0.008,-0.002,0.064,297.0,33.95,22.53
p1,460,2020.0,10.0,8.0,15.0,0.0,49.0,2.8,0.7,0.0,8246438.0,0.012,-0.031,0.083,297.0,33.99,22.58
p1,461,2020.0,10.0,8.0,15.0,0.0,49.1,2.8,0.7,0.0,8246439.0,0.012,-0.031,0.083,297.0,33.95,22.53
p1,462,2020.0,10.0,8.0,15.0,0.0,49.2,2.8,0.7,0.0,8246440.0,-0.008,-0.032,0.11699999999999999,296.9,33.95,22.53
p1,463,2020.0,10.0,8.0,15.0,0.0,49.3,2.8,0.7,0.0,8246441.0,-0.008,-0.032,0.11699999999999999,296.9,33.95,22.53
p1,464,2020.0,10.0,8.0,15.0,0.0,49.4,2.8,0.7,0.0,8246442.0,-0.008,-0.032,0.11699999999999999,296.9,33.95,22.53
p1,465,2020.0,10.0,8.0,15.0,0.0,49.5,2.8,0.7,0.0,8246443.0,-0.008,0.009000000000000001,0.11699999999999999,296.9,33.95,22.53
p1,466,2020.0,10.0,8.0,15.0,0.0,49.6,2.8,0.7,0.0,8246444.0,-0.008,0.009000000000000001,0.11699999999999999,296.9,33.95,22.53
p1,467,2020.0,10.0,8.0,15.0,0.0,49.7,2.8,0.7,0.0,8246445.0,0.012,0.009000000000000001,0.09300000000000001,296.9,33.95,22.53
p1,468,2020.0,10.0,8.0,15.0,0.0,49.8,2.8,0.7,0.0,8246446.0,0.012,0.008,0.09300000000000001,296.9,33.95,22.53
p1,469,2020.0,10.0,8.0,15.0,0.0,49.9,2.8,0.7,0.0,8246447.0,0.012,0.008,0.09300000000000001,296.9,33.95,22.53
p1,470,2020.0,10.0,8.0,15.0,0.0,50.0,2.8,0.7,0.0,8246448.0,0.012,0.008,0.025,296.8,33.95,22.53
p1,471,2020.0,10.0,8.0,15.0,0.0,50.1,2.8,0.7,0.0,8246449.0,0.012,0.008,0.025,296.8,33.95,22.53
p1,472,2020.0,10.0,8.0,15.0,0.0,50.2,2.8,0.7,0.0,8246450.0,0.040999999999999995,0.038,0.044000000000000004,296.8,33.95,22.53
p1,473,2020.0,10.0,8.0,15.0,0.0,50.3,2.8,0.7,0.0,8246451.0,0.040999999999999995,0.038,0.044000000000000004,296.8,33.95,22.53
p1,474,2020.0,10.0,8.0,15.0,0.0,50.4,2.8,0.7,0.0,8246452.0,0.040999999999999995,0.038,0.044000000000000004,296.8,33.95,22.53
p1,475,2020.0,10.0,8.0,15.0,0.0,50.5,2.8,0.7,0.0,8246453.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.95,22.53
p1,476,2020.0,10.0,8.0,15.0,0.0,50.6,2.8,0.7,0.0,8246454.0,0.012,0.008,0.09300000000000001,296.8,33.95,22.53
p1,477,2020.0,10.0,8.0,15.0,0.0,50.7,2.8,0.7,0.0,8246455.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.95,22.53
p1,478,2020.0,10.0,8.0,15.0,0.0,50.8,2.8,0.7,0.0,8246456.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.95,22.53
p1,479,2020.0,10.0,8.0,15.0,0.0,50.9,2.8,0.7,0.0,8246457.0,0.012,0.008,0.09300000000000001,296.8,33.95,22.53
p1,480,2020.0,10.0,8.0,15.0,0.0,51.0,2.8,0.7,0.0,8246458.0,-0.008,-0.002,0.073,296.7,33.95,22.53
p1,481,2020.0,10.0,8.0,15.0,0.0,51.1,2.8,0.7,0.0,8246459.0,-0.008,-0.002,0.07400000000000001,296.7,33.95,22.53
p1,482,2020.0,10.0,8.0,15.0,0.0,51.2,2.8,0.7,0.0,8246460.0,-0.008,-0.002,0.073,296.7,33.95,22.53
p1,483,2020.0,10.0,8.0,15.0,0.0,51.3,2.8,0.7,0.0,8246461.0,-0.008,-0.002,0.07400000000000001,296.7,33.95,22.53
