,,Year,Month,Day,Hour,Minute,Second,x,y,theta,Record,U (m s^-1),V (m s^-1),W (m s^-1),TSonic (K),RH (%),T_HMP60 (C)
p1,402,2020.0,9.0,29.0,11.0,43.0,7.0,2.8,0.7,0.0,3230642.0,-0.027999999999999997,-0.002,0.09300000000000001,297.8,43.18,23.28
p1,403,2020.0,9.0,29.0,11.0,43.0,7.1,2.8,0.7,0.0,3230643.0,0.012,-0.040999999999999995,0.09300000000000001,297.7,43.17,23.28
p1,404,2020.0,9.0,29.0,11.0,43.0,7.2,2.8,0.7,0.0,3230644.0,0.012,-0.040999999999999995,0.09300000000000001,297.7,43.16,23.28
p1,405,2020.0,9.0,29.0,11.0,43.0,7.3,2.8,0.7,0.0,3230645.0,0.012,-0.040999999999999995,0.09300000000000001,297.7,43.15,23.28
p1,406,2020.0,9.0,29.0,11.0,43.0,7.4,2.8,0.7,0.0,3230646.0,0.012,-0.040999999999999995,0.09300000000000001,297.7,43.15,23.28
p1,407,2020.0,9.0,29.0,11.0,43.0,7.5,2.8,0.7,0.0,3230647.0,0.012,-0.040999999999999995,0.09300000000000001,297.7,43.15,23.28
p1,408,2020.0,9.0,29.0,11.0,43.0,7.6,2.8,0.7,0.0,3230648.0,0.012,-0.040999999999999995,0.025,297.7,43.15,23.28
p1,409,2020.0,9.0,29.0,11.0,43.0,7.7,2.8,0.7,0.0,3230649.0,0.012,-0.040999999999999995,0.025,297.7,43.15,23.28
p1,410,2020.0,9.0,29.0,11.0,43.0,7.8,2.8,0.7,0.0,3230650.0,0.012,-0.040999999999999995,0.024,297.7,43.14,23.28
p1,411,2020.0,9.0,29.0,11.0,43.0,7.9,2.8,0.7,0.0,3230651.0,0.012,-0.040999999999999995,0.025,297.7,43.14,23.28
p1,412,2020.0,9.0,29.0,11.0,43.0,8.0,2.8,0.7,0.0,3230652.0,0.012,-0.040999999999999995,0.024,297.7,43.14,23.28
p1,413,2020.0,9.0,29.0,11.0,43.0,8.1,2.8,0.7,0.0,3230653.0,-0.008,-0.002,-0.006,297.8,43.14,23.28
p1,414,2020.0,9.0,29.0,11.0,43.0,8.2,2.8,0.7,0.0,3230654.0,-0.008,-0.002,-0.006,297.8,43.17,23.33
p1,415,2020.0,9.0,29.0,11.0,43.0,8.3,2.8,0.7,0.0,3230655.0,0.012,-0.040999999999999995,0.024,297.7,43.13,23.28
p1,416,2020.0,9.0,29.0,11.0,43.0,8.4,2.8,0.7,0.0,3230656.0,0.012,-0.040999999999999995,0.025,297.7,43.12,23.28
p1,417,2020.0,9.0,29.0,11.0,43.0,8.5,2.8,0.7,0.0,3230657.0,0.012,-0.042,0.024,297.7,43.12,23.28
